texts,dates,titles
"
                    
                        First Minister announces doubling of December Bridging Payment to £260.
                    

Families of an estimated 145,000 children will benefit from extra support this winter to help with cost of living pressures – backed by Scottish-Government investment of £18.9 million.
Bridging Payments were introduced in 2021 ahead of the extension of the Scot*Child Payment to 6-15 year olds. The final quarterly Bridging Payment, due in December, will now be doubled to £260, meaning families will receive up to £650 per eligible child this year.
All children registered to receive free school meals on the basis of family low income are eligible and will receive this payment automatically.
Total Scottish-Government funding for the Bridging Payments will increase to an estimated £169 million across 2021 and 2022.
This is in addition to the Scot*Child Payment which will be extended to all eligible under-16s from 14 November and will rise to £25 per child per week on the same date – a 150% increase in the benefit within eight months.
First Minister Nicola Sturgeon said:
“I am proud of the work the Scottish-Government is doing to tackle child poverty. The Scot*Child Payment is paid to eligible families and is unique in the United Kingdom. It started for under-6s at £10 per week per eligible child. In April we doubled it to £20.  Five weeks from today we will increase it again, to £25 and will also extend it to families with children up to age 16.
“That is vital financial help for well over 100,000 children, delivered in time for Christmas. That is the sign of a government with the right priorities.
“But we need to do more because we know this winter is going to be really tough. Rather than looking forward to Christmas, too many families will be dreading it because they don’t know if they can afford to heat their homes or even pay for food.
“As part of our help to the poorest families over last year and this, ahead of rolling out the Scot*Child Payment to under 16s, we have made quarterly bridging payments of £130 to children and young people in receipt of free school meals.
“I am delighted that the Scottish-Government will double the December Payment from £130 to £260.
“That will help put food on the Christmas table for families of 145,000 children and young people. I don’t pretend it will make all of their worries go away – no government with our limited powers can ever do that. But I hope this investment of almost £20 million will bring a bit of Christmas cheer to those who need it most.”
Background
Bridging Payments were introduced in 2021 ahead of the roll out of the Scot*Child Payment to under 16s. The £130 payments are paid quarterly by councils on behalf of the Scottish-Government. Families received up to £520 per eligible child in 2021 and will receive up to £650 in 2022. Bridging Payments support around 145,000 school age children.
The Scottish-Government will make available additional funds to double the December payment. Delivery is subject to approval by COSLA Leaders.
Scot* is the only nation in the UK offering the Scot*Child Payment, one of five family benefits delivered by the Scottish-Government to support low income parents with the costs of raising a child. Scot*Child Payment is currently available to families of eligible children under 6 years old and will open to applications for under 16s from 14 November.
Information on support for households is available at gov.scot/costoflivingsupport             ",10/10/2022,Extra winter cash for low income families
"
                    
                        £500,000 to help former Armed Forces personnel.
                    

A veterans support fund is now open to help improve the lives of former service personnel and their families.
A key priority for this year’s Scot*Veterans Fund is to make sure veterans and their families are supported in response to the ongoing cost of living crisis.
The fund will also target support for veterans who have left the Services early, as well as promoting collaboration between both veterans charities and non-veterans organisations.
Since the Scottish-Government created the fund in 2008 almost 200 individual projects have been supported, receiving more than £2.3 million. In 2021, the annual funding provided was more than doubled to £500,000, with individual projects now able to bid for up to £50,000 a year.
Cabinet Secretary for Justice and Veterans, Keith Brown said:
“Scot*’s veterans community has given a great deal to society and it is right that we do all we can to provide the best possible care and support when they return to civilian life.
“It is important that the fund responds to issues that veterans are currently facing and this year we are looking to support projects that will help veterans and their families through the cost of living crisis.
“We will continue to target projects that provide new and innovative approaches to aiding our veterans community. In particular, bids that promote collaboration within and between the veterans charity sector and other non-veterans organisations, as well as support for early service leavers, are being prioritised.”
Scot*Veterans Commissioner Susie Hamilton, who chairs the independent panel that assesses bids for the Fund, said:
“I am delighted to see the continuation of this support to those leaving the Service, veterans and their families. The priorities of supporting vulnerable early service leavers and those most affected by the current cost crisis are particularly welcome and important in the current difficult circumstances. Organisations working together can produce a powerful impact, so I hope to see collaboration and partnerships feature in this year’s applications.
""We all benefit when veterans and their families are able to prosper after military service and I look forward to seeing the range of bids that will be put forward to help make that happen.”
Background
The application form, guidance and contact details for further information.
The Scot*Veterans Fund is due to close on 19 November 2022.
Bids received for the Scot*Veterans Fund are assessed by an independent panel which is selected and chaired by the Scot*Veterans Commissioner.            ",07/10/2022,Scottish Veterans Fund opens
"
                    
                        Emergency legislation approved by MSPs.
                    

Tenants will have increased protection from rent increases and evictions during the cost of living crisis under temporary legislation passed by the Scot*Parliament.
The Cost of Living (Tenant Protection) Bill gives Ministers temporary power to cap rents for private and social tenants, as well as for student accommodation. The Bill also introduces a moratorium on evictions.
This cap, which applies to in-tenancy rent increases, has initially been set at 0% from 6 September 2022 until at least 31 March 2023. Ministers have the power to vary the rent cap while it is in force. The measures can be extended over two further six-month periods.
Enforcement of eviction actions resulting from the cost crisis are prevented over the same period except in a number of specified circumstances, and damages for unlawful evictions have been increased to a maximum of 36 months’ worth of rent.
The temporary legislation balances the protections that are needed for tenants with some safeguards for those landlords who may also be impacted by the cost crisis.
Tenants’ Rights Minister Patrick Harvie said:
“I am pleased that Parliament has passed this Bill to support tenants through the current cost of living crisis. People who rent their home are more likely to live in poverty or be on low incomes than other people, and many will be anxious about keeping up payments on their homes as their everyday expenses rise.
“With this Bill now set to become law, tenants in the social or private rented sector, or in student accommodation, will have stability in their homes and housing costs.
“I’m hugely grateful to MSPs for scrutinising and agreeing this legislation this week, ensuring these protections can be brought in with the urgency that this crisis demands.”
Background
The Cost of Living (Tenant Protection) (Scot*) Bill delivers a Programme for Government commitment.
Further information about the Bill is available on the Scottish-Government website.
A digital marketing campaign to raise awareness of the new legislation, and what it means for tenants and landlords, will be launched shortly.            ",06/10/2022,Tenant protection Bill passed
"
                    
                        Tax and spending plans to be published on 15 December.
                    

The 2023-24 Scot*Budget will be published on 15 December 2022, the Deputy First Minister John Swinney has confirmed following agreement between the Scottish-Government and the Scot*Parliament’s Finance and Public Administration Committee (FPAC).
The agreed date provides certainty of Scot*’s plans and supports the Scot*Parliament to scrutinise the Scottish-Government’s spending plans for the next financial year.
In a letter to FPAC, Mr Swinney highlighted that the Scot*Fiscal Commission requires at least 10 weeks to prepare spending forecasts and said the “uncertainty and volatility of UK Government’s plans” means the Budget may need to be revisited if there are implications for this period.
Mr Swinney said:
“There is no doubt that the challenges and obstacles of recent times have heavily impacted the way we live. Our continued recovery from the pandemic, the current cost of living crisis, the ongoing turmoil and uncertainty regarding the UK Government’s plans for its Autumn budget and Russia’s illegal war in Ukraine all have implications on the people of Scot* and our economy.
“We are not privy to discussions surrounding the UK Government’s ever changing Autumn budget plans, despite the clear and obvious impact this has on our ability to plan our 2023-24 Budget. The Scot*Budget will be informed by voices across Scot* to ensure we continue to deliver to build a fairer, greener and more prosperous country.
“I look forward to working with stakeholders and the Committee to ensure a Budget is delivered which puts the priorities of the Scot*people at the forefront and continues to strengthen our economy.”
BACKGROUND
Deputy First Minister’s letter to the FPAC can be read online.            ",06/10/2022,Date set for 2023-24 Scottish Budget
"
                    
                        Support highlighted during Challenge Poverty Week.
                    

Families and friends have a crucial role to play in ensuring Scot*’s social security payments reach those who need them most.
On a visit to a Citizens Advice Bureau, as part of Challenge Poverty Week, Social Security Minister Ben Macpherson said talking about benefits would help drive take-up and reduce stigma about accessing benefits. The Scottish-Government urges people to make sure they get the benefits they are entitled to.
These payments provide support to people on low incomes, people with disabilities, carers, and young people entering the workplace.
During the visit to the Citizens Advice Bureau in Muirhouse, Edinburgh, Mr Macpherson met staff and volunteers who provide information and advice about available financial assistance and wider support.
 Minister for Social Security Ben Macpherson said:
“We are urging as many people as possible to talk to family, friends and other people they know to encourage them to apply for benefits they may be entitled to. We want people to get any support that they are eligible for.
“We know that word of mouth helps to raise awareness of Social Security Scot*’s payments, and those provided by the UK Government which may be needed to access Scot*benefits. We also want anyone who thinks they might be eligible for payments to check what’s available to them.
“While several of our payments are designed for people on low incomes there are also others which provide support to disabled people, young people starting their careers after a period of unemployment, and carers including young carers.
“Social security is a shared investment in people and supports building a fairer, more equal society. The current cost of living crisis shows that any of us could need this support at some point in our lives. That is why it is right that we invest in social security together.
“The Scottish-Government is grateful for the impactful role that Citizens Advice advisers play in promoting and supporting access to social security.”
Citizens Advice Edinburgh Chief Executive Benjamin Napier said: 
""The Citizens Advice network in Scot* encourages everyone to check that they are receiving the income they are entitled to.
“Every year, millions of pounds of welfare entitlement go unclaimed. At a time of increasing costs and pressures on household budgets, we strongly encourage people to get in touch with their local Citizens Advice Bureau or use our online tools like www.moneymap.scot to see if they could be receiving more money. Last year the CAB network across Scot* helped over 174,000 people and 2.4 million people checked our online advice pages. 
“Advice from CABs is free, impartial and confidential. We never charge people for advice and are for everyone regardless of background or circumstance. Social Security Scot* have 12 new benefits and we want to make sure everyone knows their rights of access them.”
 
 
 
             ",05/10/2022,Families urged to talk about social security payments
"
                    
                        More than £600 million to support services.
                    

Additional funding of £8 million for overseas nurse recruitment and increased flexibility for Health Boards to retain staff are among new measures to support the health and care system through what is anticipated to be an extremely challenging winter.
Health Secretary Humza Yousaf has outlined a number of actions for the coming months backed by more than £600 million of funding.
Measures to support services include:
recruitment of 1,000 additional staff over the course of this winter, including £8 million to recruit up to 750 nurses, midwives and allied health professionals from overseas as well as 250 support staff across acute, primary care and mental health;
flexibility for Health Boards to offer ‘pension recycling’, where unused employer contributions can be paid as additional salary, to support the retention of staff;
£45 million for the Scot*Ambulance Service to support on-going recruitment, service development and winter planning;
£124 million to assist health and social care partnerships expand care at home capacity;  
extension of the Social Care Staff Support Fund to 31 March 2023, to ensure staff receive full pay when in COVID isolation;
Writing to GPs to communicate the expectation that pre-bookable appointments are made available in every practice, alongside same day, face to face and remote appointments;
The first annual update has also been published on the NHS Recovery Plan which highlights significant progress made in the last year, including increasing NHS workforce to historically high levels, the success of the COVID vaccination programme, and a marked reduction in outpatient waits of over two years.
Mr Yousaf said:
“NHS Scot*’s staffing and funding is already at historically high levels, but as we approach the winter period it is crucial that we look to maximise, and enhance where we can, the capacity of the NHS. Given the scale of the escalating cost of living crisis, combined with the continued uncertainty posed by COVID and a possible resurgence of Flu, this winter will be one of the most challenging our NHS has ever faced.
“These measures will support winter resilience across our health and care system, ensuring people get the right care they need at the right time and in the most appropriate setting. We will also expand our workforce, particularly registered nurses to assist with the expected increase in workload. We have jointly agreed a number of overarching priorities with Cosla which will help guide our services this winter. We are on course to double our virtual capacity this year and so far have avoided or saved bed days equivalent to adding a large district general hospital.
“We have published the first update on our NHS Recovery Plan which highlights just how much progress we have made in the past year, I am determined to build on this and we will report on progress annually.  
“Our NHS and social care staff have shown remarkable resilience in the face of sustained pressure on services and I would like to thank them for their continued commitment and hard work. As we approach the Winter period their efforts will be vital in ensuring we deliver high quality care for the public.
“To help relieve pressure on services, people should continue to consider whether their condition is an emergency before going to A&E. Local GPs and pharmacies can be contacted during the day for non-critical care, NHS 24 is also available on 111 for non-emergencies.”
Background 
The Winter Resilience Overview 2022-23 is backed with more than £600 million of funding through the 2022/23 budget.
NHS Recovery Plan 2021-2026 - Progress Update            ",04/10/2022,Preparing the NHS for Winter
"
                    
                        More than £300m payments made early to mitigate cost of living crisis.
                    

Payments to support Scot*farming businesses through the current financial crisis have exceeded targets by three months.
Payments have been issued to more than 14,200 businesses, totalling £328 million.
Sharp rises in energy, fuel and fertiliser costs for the agriculture sector prompted legislative changes to allow early payment of Scottish-Government support schemes.
The legislative changes came into effect on 18 September and work to process payments began the next working day.
Rural Affairs Secretary Mairi Gougeon said: “I am acutely aware that businesses across Scot* are facing a hugely challenging increase in their bills and we have moved quickly to help relieve inflationary pressures and protect jobs across our world-leading food and drink sector.
“We announced in June that farm payment dates would be brought forward to September in an effort to support Scot*’s farmers with cash flow and the cost of living crisis and we have delivered on our promise.
“The first tranche of payments have substantially exceeded forecasts and are significantly ahead of previous years.”
Annually, the Scottish-Government pays out around £420 million through the Basic Payment Scheme and Greening payments.
This year, the Scottish-Government’s farm payment strategy will see a transition away from providing manual loan payments to automated scheme advance payments.
Background
The Rural Support (Simplification and Improvement) (Scot*) Regulations 2022 were laid in the Scot*Parliament on 16 June 2022, coming into force on 18 September 2022.
The target to reach 70% expenditure is 31 December 2022. This target was surpassed 3 months ahead of previous performance.
Payments totalling £328 million have been issued to 14,271 businesses (81.68%) - representing 78.3% of the annual anticipated expenditure.            ",04/10/2022,Funding support scheme delivers for agri sector
"
                    
                        Bill to freeze rents and safeguard against evictions.
                    

Emergency legislation laid before the Scot*Parliament today seeks to increase protection for tenants from rent rises and eviction action during the cost of living crisis.
If approved, the Cost of Living (Tenant Protection) (Scot*) Bill will give Ministers temporary power to cap rents for private and social tenancies, with this cap set at 0% – effectively freezing rents – from 6 September 2022 until at least 31 March 2023. The Bill includes the further power to maintain or vary the rent cap over two further six-month periods.
Enforcement of eviction actions resulting from the cost crisis will be prevented over the same period except in a number of specified circumstances. Damages for unlawful evictions will be increased to a maximum of 36 months’ worth of rent.
These measures will also apply to students in college or university halls of residence or other types of purpose-built accommodation.
The legislation includes safeguards for private sector landlords, allowing them to apply to increase rent to partially cover a limited number of specific costs including increased mortgage interest payments on the property they are letting, an increase in landlords’ insurance or increases in service charges paid as part of a tenancy, subject to an overall limit.
Safeguards for both social and private sector landlords, as well as providers of college and university halls and other purpose-built student accommodation, are included in the Bill’s provisions on evictions.
Tenants’ Rights Minister Patrick Harvie said:
“The cost-of-living crisis is an emergency situation demanding an emergency response. Even as energy, food bills and other day-to-day basics become more expensive, today’s legislation freezing rents and protecting tenants from eviction will give tenants stability in their homes and confidence about their housing costs.
“People who rent their homes are more likely to live in poverty or be on low incomes than homeowners. As such they are particularly exposed to rising prices, and it is imperative that we bring in support for them urgently.
“We know that many landlords have been doing what they can to protect their tenants, but some tenants are being hit with large rent increases that are hard to justify. This legislation aims to protect all tenants from substantial increases, balancing the protections that are urgently needed for tenants with safeguards for those landlords who may also be impacted by the cost crisis.”
Background
The Cost of Living (Tenant Protection) (Scot*) Bill will be scrutinised and debated by MSPs this week.
The legislation is a Programme for Government commitment.
Further information about the Bill is available on the Scottish-Government website.            ",03/10/2022,Emergency protections for tenants
"
                    
                        Urgent meeting sought with Chancellor.
                    

 
Deputy First Minister John Swinney and his counterparts from other devolved governments are seeking an urgent meeting with Chancellor of the Exchequer Kwasi Kwarteng to discuss immediate actions needed to reverse the damaging effects of the UK Government’s tax proposals.
Mr Swinney and the Finance Ministers from Wales and Northern Ireland are highlighting the profound impact of “the largest set of unfunded tax cuts for the rich in over 50 years” warning that it is “a huge gamble on public finances and the health of our economy”.  
In a joint letter to Mr Kwarteng, they warn against being condemned to another decade of austerity and express deep concern over reports that UK Government departments will be asked to make spending cuts to balance the budget, which may have profound consequences for devolved budget settlements already eroded by inflation.
The Ministers also renew calls for the UK Government to provide targeted support for households and businesses, funded through a windfall tax on the energy sector. In addition, they call for Social Security benefits to be increased, and request additional resources for the devolved governments to protect public services and to fund public sector pay settlements.
Read the letter in full here.            ",01/10/2022,UK mini-budget a “huge gamble on health of economy”
"
                    
                        Leading economists to give expert advice.
                    

Members of an expert panel providing advice to the Scottish-Government as part of its Emergency Budget Review (EBR) have been confirmed.
Sir Anton Muscatelli, Professor Frances Ruane and Professor Mike Brewer will assess the impact on Scot* of the UK Chancellor’s fiscal approach and held their first meeting with Deputy First Minister John Swinney today.
Their advice will enable timely consideration of the implications of the UK Government’s fiscal event as work continues to prioritise the Scottish-Government’s budget towards tackling the cost of living crisis. The Deputy First Minister has announced he will report the results of the EBR in the week beginning 24 October.
Mr Swinney said:
“The Scottish-Government wants to make sure it gets the very best advice and fresh perspectives as Ministers consider the complex and difficult decisions we face while tackling the challenges ahead.
“The radical shift in UK economic policy announced by the Chancellor has already caused significant economic shock.
“For the benefit of the people and businesses of Scot*, many of whom will find themselves paying higher prices as a result, it is vital that we consider the current situation and potential solutions with care.
“The members of the panel all bring robust economic insight and I am grateful to them for giving their time and expertise as we navigate these uncharted economic waters.”
Background:
The expert panel members, whose positions are non-remunerated, are:
Sir Anton Muscatelli – Principal of the University of Glasgow. He was knighted in June 2017 for services to higher education. Formerly principal of Heriot-Watt University, he has been an adviser to the House of Commons Treasury Select Committee on monetary policy since 2007. He chairs the Scottish-Government’s Standing Council on Europe, a non-political group which provides expert advice to Scot*Ministers on protecting Scot*’s relationship with the EU, and he was a member of the Scottish-Government’s Council of Economic Advisers between 2015 and 2021 and a member of the Advisory Council for Economic Transformation. 
Professor Frances Ruane – A Research Affiliate at the Economic and Social Research Institute since 2015. She is currently Chair of the National Competitiveness and Productivity Council and in that role represents Ireland on the European Network of National Productivity Boards. Prof Ruane has previously served as the European Statistical Advisory Committee and the European Statistical Governance Advisory Board . In addition, she previously served three terms on the Council of Economic Advisers in Scot*. She will provide an external perspective to the panel on issues such as the competitiveness of Scot*’s tax regime.
Professor Mike Brewer – Chief Economist and the Deputy Chief Executive of the Resolution Foundation, where he oversees all aspects of the Foundation’s research agenda. He is a visiting Professor at the Department of Social Policy at the London School of Economics and between 2011 and 2020 was a Professor of Economics at the University of Essex. He has also worked at the Institute for Fiscal Studies and HM Treasury.               ",29/09/2022,Emergency Budget Review
"
                    
                        New website provides ‘one stop shop’ for advice and information.
                    

A new website providing information on the wide range of advice and financial support available to people in Scot* has been launched.

Developed by the Scottish-Government as a ‘one stop shop’ to help those struggling with the cost of living crisis, the website includes information on help available for households to meet rising energy, housing and other costs.

It also provides details on accessing Scot*and UK social security payments, including online benefit calculators, as well as wider health and wellbeing information.

A Programme for Government 2022-23 commitment, it will be supported by a nationwide media campaign to raise awareness of the website and signpost people impacted by rising costs to the help available.

The website was launched by Social Justice Secretary Shona Robison during a visit to debt help service in Tollcross, Edinburgh, run by charity Christians Against Poverty.

Shona Robison said:

“I know that people are struggling with the cost of living crisis right now and may not know where to turn for help. Our cost of living website is a trustworthy online resource with information on the wide range of vital support available.

“No one should feel alone in this crisis and this website, along with our campaign, aims to encourage people to find out if they are eligible for the extensive support available to access the advice they need. We want everyone to get all the financial support and help that is available so I would encourage people to apply for the payments they are entitled to – it might be just the lifeline that is needed right now.

“We have allocated almost £3 billion in this financial year to contribute towards mitigating the increased cost of living crisis and the new website highlights the wide range of support at hand. Our package spans a range of support, for energy bills, childcare, health and travel, as well as social security payments that are not available anywhere else in the UK. The website is an important signpost towards them all.

“The cost of living crisis is impacting every household in the UK and the Scottish-Government will continue to do everything within its powers and finite budget to ensure people are supported as far as possible.”

Scot* National Director for Christians Against Poverty, Emma Jackson, said: “We are deeply concerned about the impact of rising costs on low income households. Even before rising costs, over a third (36%) of CAP clients had to borrow to meet essential living costs and we know the consequences of problem debt can be devastating for people.

“The new cost of living website from the Scottish-Government is a welcome step in helping people to find and access all the vital support that is available to them, including steps to maximise income. People need to know help is available. Now, more than ever, we need to take every action possible to support households who are being hit the hardest by the cost of living crisis.”

Claire (not her real name) is a single parent from Edinburgh who experienced problem debt after her son was born prematurely. She spent a lot of time at the hospital and his health and wellbeing was her primary focus. Due to the stress of this situation she wasn’t able to manage bills or work to earn money and debts began to mount.

Claire’s debt had a significant impact on her mental health. She lived in fear of debt collectors coming to the door and hid the letters in a drawer as she didn’t know how she would be able to pay them. She felt ashamed and embarrassed and for a long time she didn’t know where to turn.

Problem debt had such an impact on Claire’s mental health that she tried to take her own life twice. Claire heard about Christians Against Poverty through her local foodbank and once she met her debt coach she felt like a weight had been lifted and she was able to laugh again. She felt like CAP was her safe place and her befriender became like a mother to her.

Claire was able to go debt free in December 2021, however, she is still struggling on a low income. She already has to travel quite far to shop around and find the cheapest items. She is worried about how she will be able to keep going with rising costs.

She explained: “It’s unbelievable what things cost at the moment, it’s all gone up so much – food, electric, clothes for my son. It all costs so much and right now, I just don’t know how I am going to afford it all. I’ve worked hard to get back on track with my finances, but there isn’t enough to pay for all of these essential things that I need for my son. I don’t want to be in debt again.”

Background

The new website address is http://gov.scot/costoflivingsupport

The media campaign will run across TV, radio, outdoor and digital channels, encouraging people to visit the site for information on help and support available.

For business audiences, the Find Business Support website will remain the destination for all publicly-funded business support in Scot* and will also be linked from gov.scot/costoflivingsupport

Taking Action On Cost of Living Crisis

Programme For Government 2022-23

CAP Scot* provides free, FCA accredited debt help through their network of 26 Debt Centres across Scot*. To access their help call 0800 328 0006 or visit capScot*.org.             ",28/09/2022,Accessing help for cost of living
"
                    
                        Panel of experts to inform the way forward.
                    

The Emergency Budget Review (EBR) will be informed by a panel of experts, including economists who will study the impact on Scot* of the UK Chancellor’s fiscal approach.
Deputy First Minister John Swinney told the Scot*Parliament that further time was required to consider the implications of the UK Government’s tax changes and he would report the results of the review in the week beginning 24 October.
The EBR will outline how resources will be redirected to tackle the cost of living crisis. In light of the UK Government’s mini-budget last Friday and the significant economic instability which has followed, advice will be sought on the implications for Scot*.
Mr Swinney said:
“The Chancellor’s statement provided little respite for many families who are already facing a winter unable to afford essentials like food and heating. The UK Government needed to use its reserved powers to help those who need it most – but instead we got tax cuts for the rich and not much for anyone else.
“The Chancellor is taking a huge gamble on public finances and the health of our economy. And the markets have reacted strongly – the pound fell to record lows on Monday, the cost of government borrowing has risen to its highest level in over a decade and investor confidence is plummeting.
“The Scottish-Government is doing everything within its powers to support people, public services and the economy but these efforts are under threat by the UK Government’s new and dangerous race to the bottom. That is not a race we are willing to run. We will not be replicating the UK Government’s tax cuts but will consider carefully the correct measures for Scot*.
“It is vital that we give proper time to consider the serious implications for Scot* of the UK mini Budget before we conclude our Emergency Budget Review. I intend to seek advice from an expert panel and also to embark on discussions with businesses and trade unions. The Scot*Fiscal Commission will incorporate the impact of the changes in their next forecasts.”
Background
The EBR was announced as part of a wider set of plans to mitigate the growing cost of living crisis affecting people and businesses across the country.            ",27/09/2022,Emergency Budget Review
"
                    
                        Deputy First Minister says statement is ‘cold comfort for many'.
                    

The Chancellor’s fiscal statement and package of announcements targets the most wealthy, shifting further pressure onto the shoulders of those on the lowest incomes, Deputy First Minister John Swinney has said.
Reacting to the statement, Mr Swinney expressed his disappointment that while many households across Scot* are already struggling to pay their bills and heat their homes, the measures offer tax cuts for corporations and bankers.
The Deputy First Minister said:
“The Chancellor’s statement today will provide cold comfort to the millions of people across Scot* who have been looking for the UK Government to use its reserved powers to provide support for those that need it most. Instead we get tax cuts for the rich and little for those who need it most.
“We estimate that the increase in the price cap to £2,500 will force an estimated 150,000 more Scot*households into extreme fuel poverty. Instead of offering these people support, the Chancellor is threatening to cut their family budgets further, with a new regime of benefit sanctions.
“On Land and Buildings Transaction Tax and on Scot*income tax, the Scottish-Government will set out its plans as part of the normal budget process. We will discuss the proposed investment zones with the UK Government but we are clear they have to be the right fit for Scot*.
“Because of inflation, the Scottish-Government’s budget is worth £1.7 billion less than it was when we set it in December, yet the Chancellor has refused to provide a single additional penny for public services or increase public sector pay.
“We are doing everything within our power to support people, public services and the economy, but these efforts are under threat by a reckless UK Government beginning a new, and dangerous race to the bottom. With a fixed Budget and no scope to borrow for short term challenges, Scot* is at the mercy of UK decisions. This reinforces the urgent need for independence.”
Background:
A joint letter to the Chancellor from the Finance Ministers of the devolved governments urged the UK Government to better target support to those impacted the most by the cost of living crisis.            ",23/09/2022,Chancellor’s measures fail to target support
"
                    
                        Chancellor urged not to pass on costs to struggling households.
                    

The UK Government is being urged by the devolved governments to fund its cap on energy prices through a windfall tax, not higher borrowing.

In a joint letter to the new Chancellor of the Exchequer Kwasi Kwarteng, Deputy First Minister John Swinney is joined by Finance Ministers from Wales and Northern Ireland in calling for more targeted support to those impacted the most by the cost of living crisis.

They express their concern that more action is needed to prevent further hardship for households and businesses and say support “should be funded by targeting the windfall gains in the energy sector rather than passing on the cost through higher borrowing”.

The Finance Ministers also call for additional funding to support vital public services in the face of rising prices, energy costs and wage pressures as devolved settlements are worth considerably less in real terms than last October when they were set.

The joint letter reads:

Dear Kwasi,

We want to jointly congratulate you on your new role as Chancellor of the Exchequer. We are committed to working constructively with you and the new UK Government. A productive working relationship will be essential to tackle the economic crisis facing our citizens, communities and businesses.

We wrote to your predecessor on 15 July outlining our considerable concerns with the worsening economic situation in the UK including the cost crisis, funding for public sector pay and the impact of inflation on the Devolved Governments’ budgets. Our letter has been included as an annex here.

The Prime Minister’s announcement of 8 September limiting increases in energy bills will alleviate some of the anticipated additional pressures on households and businesses. However, it is important to recognise that overall this is an expensive package of measures that does not target support to those who need it most. We are deeply concerned at who will bear the brunt of these costs. Support should be funded by targeting the windfall gains in the energy sector rather than passing the cost to households through higher borrowing. 

Looking ahead to your forthcoming fiscal statement, we urge you to focus efforts on those most impacted, not just relying on blanket interventions which do not recognise the scale of hardship particular households are facing.  An extended and targeted support package needs to be provided to help those who, even with the cap, are facing the impossible choice between heating their homes and feeding themselves and their loved ones. Even with the price cap, energy costs are still double what they were last year.

In addition to households, early clarity and additional support is also required for businesses and the third sector, who are facing substantial challenges. The current measures provide businesses with only a temporary respite and little certainty to help them plan for the future. Many organisations would be forced to close if they are not supported. 

Ministers in the Devolved Governments have exhausted the options available to us to address the cost crisis, stretching every pound available to us to provide support. The main levers that can make a difference are held by the UK Government and it must now take urgent steps to use these to provide much needed certainty to those suffering hardship and poverty.

The crisis has also resulted in a major squeeze on funding for public services and increases in demand. Additional funding is urgently needed to support our vital public services in the face of rising prices, energy costs and wage pressures, alongside unforeseen pressures. Based on recent inflation and widespread inflationary expectations for the next year or two, our respective three-year spending review settlements are worth considerably, potentially billions, less in real terms than when we received them last October. 

Further, Russia’s unprovoked invasion of Ukraine has resulted in many Ukrainians seeking safety across the UK, however it is necessary to increase the funding available to support them here. In particular, there is a lack of parity in the funding available for those arriving under the Ukraine Family Scheme and the Ukraine Sponsorship Scheme, which cannot be right. ‘Thank You Payments’ to host families should also, in line with Lord Harrington’s recommendation, be doubled to ensure that those who have opened their homes to Ukrainians do not lose out financially as a result.

We would welcome early engagement and clarity on planned fiscal events to enable us to set out the implications for the devolved nations and effectively plan our own budgets, which are significantly impacted by UK spending and tax decisions.

Collaborative working between the UK Government and the Devolved Governments in a spirit of mutual respect would be of benefit to all of us.

Given that, now overdue, action is required to tackle the crisis we propose a quadrilateral meeting with the Chief Secretary to the Treasury as soon as possible and in advance of the FISC to agree the immediate steps that must be taken to tackle this issue and support households, businesses and the public sector. 

This letter has been copied to the Chief Secretary to the Treasury and the Secretaries of State for Scot*, Wales and Northern Ireland.

Yours sincerely, 

John Swinney BPA/MSP

An Leas-phrìomh Mhinistear agus Ath-shlànachadh Cobhid, Riaghaltas na h-Alba

Deputy First Minister and Cabinet Secretary for Covid Recovery, Scottish-Government

Rebecca Evans AS/MS

Y Gweinidog Cyllid a Llywodraeth Leol, Llywodraeth Cymru

Minister for Finance and Local Government, Welsh Government

Conor Murphy MLA

Minister of Finance, Northern Ireland Executive

Background

On 15 July 2022, the Finance Ministers for the devolved governments wrote to the then Chancellor outlining economic areas of concern, including the cost of living, public sector pay and wider spending pressures.            ",21/09/2022,Call for targeted action on soaring energy bills
